time,latency_ms
231828350778091,6.967322
231828365432813,10.962233
231828365435557,10.862566
231828365436541,10.929256
231828365462118,10.993559
231828376005159,5.885325
231828376009192,5.929397
231828376010826,5.899273
231828376027333,5.976849
231828386053005,5.783418
231828386057367,5.839518
231828386059228,5.765268
231828386068422,5.841138
231828396888460,5.941707
231828396916904,6.011956
231828396994405,6.113706
231828397002669,6.059003
231828407268674,5.919722
231828407272069,5.893827
231828407273006,5.916998
231828407274018,5.889795
231828417948903,6.082998
231828417953036,6.01559
231828417960668,6.00657
231828417978667,6.026142
231828428445239,5.846253
231828428449477,5.960236
231828428451212,5.934024
231828428460129,5.946954
231828438469738,5.881466
231828438473434,6.450519
231828439518739,6.946661
231828439528249,6.990245
231828449296001,6.043011
231828449299974,5.96824
231828449301753,6.042967
231828449302942,6.002627
231828459390295,6.010517
231828459394964,6.03227
231828459571163,6.216141
231828459603184,6.259172
231828470539594,6.295375
231828470543703,6.314494
231828470828236,6.556557
231828470878823,6.658606
231828483151337,5.877964
231828483155840,5.843733
231828483157557,5.90375
231828483219855,5.975901
231828492728603,5.850362
231828492733219,5.972432
231828492734974,5.980408
231828492776441,5.99673
231828502625579,5.797859
231828502628858,5.781874
231828502629959,5.749279
231828502708303,5.924894
231828512632171,5.85901
231828512635401,5.729342
231828512636621,5.825171
231828512653157,5.721
231828522833954,5.902669
231828522837278,5.923295
231828522838296,5.87718
231828522839456,5.909573
231828532542328,5.946042
231828532546820,5.94843
231828532548640,5.895709
231828532553024,6.007003
231828542234844,5.817998
231828543285018,6.841504
231828543287099,6.820065
231828543293428,6.824275
231828551644469,6.404726
231828552720352,6.266233
231828552722296,6.20835
231828552723475,6.255688
231828561494334,6.699982
231828562661405,6.433138
231828562665100,6.433216
231828562681180,6.426658
231828571155435,6.343557
231828572265567,6.255483
231828572268152,6.320993
231828572281600,6.290358
231828581114757,6.072066
231828582137540,6.328572
231828582172136,6.416071
231828582181472,6.394037
231828591148750,5.99128
231828591152704,5.698738
231828591176808,5.695499
231828592108718,6.535511
231828600962024,6.036958
231828601018737,6.111238
231828601034439,6.126598
231828601054414,6.147952
231828611104368,6.025005
231828611108449,6.089825
231828612150817,7.118992
231828612173988,7.13058
231828621385590,6.215619
231828621390152,6.215616
231828622937485,7.751149
231828622952366,7.796036
231828631111162,6.243452
231828631115969,6.807464
231828632108831,6.381345
231828632122255,6.353046
231828641221124,6.025196
231828641224411,6.01207
231828641225652,6.037278
231828641226597,5.975279
231828651008180,5.825033
231828651011555,5.879927
231828651012635,5.860035
231828651013602,5.878694
231828661608618,6.504935
231828661621361,6.499822
231828661663151,6.552974
231828661851417,6.816193
231828674279157,7.803398
231828674353419,7.863904
231828675505997,9.069977
231828675538831,9.000262
231828686672178,7.522116
231828687814999,8.633574
231828687817738,8.707884
231828687818999,8.681041
231828699450942,7.309177
231828699465817,7.238333
231828700701839,8.624929
231828700704602,10.270437
231828712857488,8.060349
231828712914253,8.199732
231828713897424,9.138471
231828713930257,9.245752
231828724924977,7.418179
231828726120942,8.637692
231828726124068,8.612187
231828726126028,8.646151
231828737479073,7.565864
231828737632945,7.868048
231828738683117,8.799168
231828738686185,8.938875
231828748331709,6.958431
231828749581506,7.556606
231828749584133,7.554359
231828749585303,7.530719
231828760687712,6.894751
231828760692586,7.262401
231828761804169,8.828099
231828762448454,8.721743
231828772309936,7.533942
231828773591096,8.865551
231828773606328,8.069606
231828773609156,8.020268
231828784438963,8.727545
231828786415584,8.156108
231828786435235,8.161069
231828786467709,8.225025
231828794531659,7.445069
231828797454623,7.564635
231828797535156,7.652107
231828798528453,8.616554
231828805810627,8.752111
231828809081814,6.739823
231828810117122,7.788568
231828810133011,7.969165
231828818019133,9.56814
231828821219911,8.142153
231828822227466,8.939354
231828822238262,8.990294
231828828775278,8.283614
231828833283453,6.790265
231828833288537,6.773832
231828837019480,10.648058
231828842362011,11.095223
231828844872144,8.047905
231828845871277,9.044351
231828846649028,7.593529
231828856160328,7.164584
231828857366006,8.467032
231828857379412,8.398731
231828857383071,12.484492
231828868394842,8.062245
231828869589972,8.586192
231828869593499,8.511903
231828869595352,8.447919
231828879893517,8.890184
231828881887120,7.581005
231828881924942,7.664293
231828881927474,7.626638
231828891618096,7.371631
231828892835105,7.094958
231828892837916,7.076758
231828892852036,7.159972
231828904451679,7.218766
231828904456976,7.153961
231828906141258,9.594815
231828906144039,9.074816
231828915403421,7.327277
231828915408466,7.308501
231828917967596,8.43291
